;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència;Població;Superfície en km2;Densitat de població;Creixement demogràfic;Taxa de creixement vegetatiu;Taxa migratòria;Índex d'envelliment;Índex de dependència
   46176 - Montroi / Montroy;2822;31,39;89,9;86,39;2,41;2,34;104,71;47,83;2867;31,39;91,33;88,74;2,62;0,84;112,84;47,86;2956;31,39;94,17;92,2;2,74;2,64;113,45;47,5;3069;31,39;97,77;92,9;2,38;5,54;115,74;46,42;3185;31,39;101,46;97,09;2,29;10,89;119,14;47,05
   46177 - Museros;6291;12,45;505,13;51,19;6,6;8,41;84,77;47,92;6458;12,45;518,54;55,02;6,55;6,83;84,97;47,92;6596;12,45;529,62;58,63;6,52;7,75;87,67;47,69;6618;12,45;531,38;57,95;6,65;9,1;89,79;48,95;6663;12,45;535;55,79;6,69;6,9;96,49;48,73
   46178 - Nàquera/Náquera;6205;38,71;160,31;161,04;11,81;7,11;60,19;41,6;6577;38,71;169,92;155,52;11,45;4,84;61,79;41,05;6897;38,71;178,19;147,83;11,06;8,51;63,28;40,61;7301;38,71;188,63;147,91;10,59;14,15;67,97;39,33;7728;38,71;199,66;146,04;10,02;17,7;70,77;39,57
   46179 - Navarrés;2975;47,04;63,24;8,26;-5,68;-4,07;150,11;62,84;2968;47,04;63,1;8,05;-6,2;-5,9;155,9;63,17;3004;47,04;63,86;9,48;-5,89;-3,33;152,83;63,17;3004;47,04;63,86;6,3;-6,23;-3,3;150,76;62,55;2989;47,04;63,54;3,71;-5,85;-6,96;150,66;61,92
   46180 - Novetlè;838;1,47;569,42;26,2;-0,6;0,84;111,9;46,76;837;1,47;568,74;24,18;-0,72;-5,38;106,92;47,36;857;1,47;582,33;27,91;0,82;-1,75;102,86;49,56;853;1,47;579,61;29,05;1,06;-1,17;110,29;50,44;861;1,47;585,04;31,45;0,58;-1,39;117,91;51,32
   46181 - Oliva;25199;59,93;420,48;22,46;0,06;-9,26;123,17;55,61;25101;59,93;418,84;21,52;-0,06;-9,34;129,25;56,26;25224;59,93;420,9;20,11;-0,24;-7,73;134,05;56,78;25119;59,93;419,14;15,39;-0,64;-5,17;139,68;56,95;25179;59,93;420,14;15,6;-1,02;-4,48;142,75;56,96
   46182 - Olocau;1766;37,4;47,22;124,68;-0,51;20,84;126,2;53,17;1771;37,4;47,36;117,03;-0,17;18,58;129,41;54,4;1828;37,4;48,88;106,79;-0,22;21,83;135,63;50,7;2028;37,4;54,23;117,36;-0,59;28,65;131,56;47,49;2148;37,4;57,44;122,82;-0,56;27,09;126,51;45,82
   46183 - Olleria, l';8225;32,22;255,24;17,42;2,21;1,08;120,5;52,43;8281;32,22;256,98;17,11;1,76;-0,05;128,32;53,49;8320;32,22;258,19;17,88;1,17;0,7;128,39;53,39;8404;32,22;260,79;17,24;0,56;1,29;130,63;52,86;8355;32,22;259,27;14,42;-0,32;2,84;133,52;52,91
   46184 - Ontinyent;35395;125,43;282,19;12,93;4,29;-6,49;113,77;50,91;35347;125,43;281,81;12,11;3,84;-6,31;117,76;51,17;35761;125,43;285,11;12,01;3,69;-5,21;121,3;51,5;35946;125,43;286,58;9,97;3,16;-3,12;125,9;51,21;35946;125,43;286,58;6,56;2,5;-1,44;131,6;51,54
   46185 - Otos;446;11,07;40,3;-14,89;-12,33;-6,05;229,63;66,42;434;11,07;39,21;-17,33;-12,67;-6,45;236;63,16;422;11,07;38,13;-19,77;-13,98;-9,48;268,89;64,84;428;11,07;38,67;-17,21;-14,49;-7,01;235,29;66,54;428;11,07;38,67;-17,69;-15,42;-3,04;252;69,84
